Date,buy,sell,Action,ActionID
2019-05-23,6,14,sell,0
2019-05-24,17,3,buy,1
2019-05-25,17,3,buy,1
2019-05-26,13,7,buy,1
2019-05-27,18,2,buy,1
2019-05-28,16,4,buy,1
2019-05-29,6,14,sell,0
2019-05-30,5,15,sell,0
2019-05-31,7,13,sell,0
2019-06-01,8,12,sell,0
2019-06-02,12,8,buy,1
2019-06-03,5,15,sell,0
2019-06-04,0,20,sell,0
2019-06-05,9,10,sell,0
2019-06-06,9,11,sell,0
2019-06-07,14,6,buy,1
2019-06-08,12,8,buy,1
2019-06-09,6,14,sell,0
2019-06-10,10,10,buy,1
2019-06-11,9,11,sell,0
2019-06-12,15,5,buy,1
2019-06-13,12,8,buy,1
2019-06-14,9,11,sell,0
2019-06-15,13,7,buy,1
2019-06-16,12,8,buy,1
2019-06-17,12,6,buy,1
2019-06-18,10,8,buy,1
2019-06-19,7,11,sell,0
2019-06-20,6,12,sell,0
2019-06-21,12,6,buy,1
2019-06-22,16,4,buy,1
2019-06-23,14,6,buy,1
2019-06-24,8,12,sell,0
2019-06-25,6,14,sell,0
2019-06-26,12,8,buy,1
2019-06-27,3,17,sell,0
2019-06-28,11,9,buy,1
2019-06-29,7,13,sell,0
2019-06-30,6,12,sell,0
2019-07-01,3,15,sell,0
2019-07-02,5,15,sell,0
2019-07-03,8,12,sell,0
2019-07-04,10,10,buy,1
2019-07-05,7,13,sell,0
2019-07-06,10,10,buy,1
2019-07-07,13,7,buy,1
2019-07-08,12,8,buy,1
2019-07-09,5,15,sell,0
2019-07-10,1,19,sell,0
2019-07-11,1,19,sell,0
2019-07-12,7,13,sell,0
2019-07-13,6,14,sell,0
2019-07-14,0,20,sell,0
2019-07-15,2,18,sell,0
2019-07-16,3,17,sell,0
2019-07-17,7,13,sell,0
2019-07-18,16,4,buy,1
2019-07-19,11,9,buy,1
2019-07-20,15,5,buy,1
2019-07-21,9,11,sell,0
2019-07-22,4,16,sell,0
2019-07-23,3,17,sell,0
2019-07-24,7,13,sell,0
2019-07-25,9,11,sell,0
2019-07-26,8,12,sell,0
2019-07-27,7,13,sell,0
2019-07-28,4,16,sell,0
2019-07-29,3,17,sell,0
2019-07-30,8,12,sell,0
2019-07-31,13,7,buy,1
2019-08-01,8,12,sell,0
2019-08-02,5,14,sell,0
2019-08-03,7,12,sell,0
2019-08-04,9,10,sell,0
2019-08-05,13,7,buy,1
2019-08-06,7,13,sell,0
2019-08-07,10,10,buy,1
2019-08-08,7,13,sell,0
2019-08-09,5,15,sell,0
2019-08-10,6,14,sell,0
2019-08-11,11,9,buy,1
2019-08-12,9,11,sell,0
2019-08-13,3,17,sell,0
2019-08-14,2,18,sell,0
2019-08-15,5,15,sell,0
2019-08-16,5,14,sell,0
2019-08-17,1,18,sell,0
2019-08-18,7,12,sell,0
2019-08-19,11,9,buy,1
2019-08-20,10,10,buy,1
2019-08-21,4,16,sell,0
2019-08-22,11,9,buy,1
2019-08-23,10,10,buy,1
2019-08-24,7,13,sell,0
2019-08-25,4,16,sell,0
2019-08-26,11,9,buy,1
2019-08-27,5,15,sell,0
2019-08-28,1,19,sell,0
2019-08-29,0,20,sell,0
2019-08-30,9,11,sell,0
2019-08-31,7,13,sell,0
2019-09-01,13,7,buy,1
2019-09-02,17,3,buy,1
2019-09-03,11,9,buy,1
2019-09-04,8,12,sell,0
2019-09-05,8,12,sell,0
2019-09-06,10,10,buy,1
2019-09-07,14,6,buy,1
2019-09-08,16,4,buy,1
2019-09-09,10,10,buy,1
2019-09-10,7,13,sell,0
2019-09-11,6,14,sell,0
2019-09-12,6,14,sell,0
2019-09-13,10,10,buy,1
2019-09-14,10,10,buy,1
2019-09-15,10,10,buy,1
2019-09-16,11,9,buy,1
2019-09-17,17,3,buy,1
2019-09-18,17,2,buy,1
2019-09-19,10,9,buy,1
2019-09-20,9,10,sell,0
2019-09-21,8,12,sell,0
2019-09-22,2,16,sell,0
2019-09-23,2,16,sell,0
2019-09-24,4,16,sell,0
2019-09-25,5,15,sell,0
2019-09-26,3,17,sell,0
2019-09-27,8,12,sell,0
2019-09-28,10,10,buy,1
2019-09-29,5,15,sell,0
2019-09-30,12,8,buy,1
2019-10-01,17,3,buy,1
2019-10-02,10,10,buy,1
2019-10-03,7,11,sell,0
2019-10-04,11,7,buy,1
2019-10-05,10,10,buy,1
2019-10-06,8,12,sell,0
2019-10-07,13,7,buy,1
2019-10-08,14,6,buy,1
2019-10-09,18,2,buy,1
2019-10-10,14,6,buy,1
2019-10-11,6,14,sell,0
2019-10-12,10,10,buy,1
2019-10-13,15,5,buy,1
2019-10-14,12,8,buy,1
2019-10-15,8,12,sell,0
2019-10-16,5,15,sell,0
2019-10-17,10,8,buy,1
2019-10-18,11,9,buy,1
2019-10-19,13,7,buy,1
2019-10-20,13,7,buy,1
2019-10-21,8,12,sell,0
2019-10-22,11,9,buy,1
2019-10-23,3,17,sell,0
2019-10-24,5,15,sell,0
2019-10-25,14,6,buy,1
2019-10-26,14,6,buy,1
2019-10-27,14,6,buy,1
2019-10-28,12,8,buy,1
2019-10-29,10,10,buy,1
2019-10-30,5,15,sell,0
2019-10-31,6,14,sell,0
2019-11-01,10,10,buy,1
2019-11-02,10,10,buy,1
2019-11-03,8,12,sell,0
2019-11-04,9,11,sell,0
2019-11-05,14,6,buy,1
2019-11-06,16,4,buy,1
2019-11-07,6,14,sell,0
2019-11-08,6,14,sell,0
2019-11-09,11,9,buy,1
2019-11-10,16,4,buy,1
2019-11-11,8,12,sell,0
2019-11-12,14,6,buy,1
2019-11-13,10,10,buy,1
2019-11-14,10,10,buy,1
2019-11-15,7,13,sell,0
2019-11-16,11,9,buy,1
2019-11-17,15,5,buy,1
2019-11-18,1,19,sell,0
2019-11-19,4,16,sell,0
2019-11-20,4,16,sell,0
2019-11-21,1,19,sell,0
2019-11-22,1,19,sell,0
2019-11-23,8,12,sell,0
2019-11-24,5,15,sell,0
2019-11-25,5,15,sell,0
2019-11-26,12,8,buy,1
2019-11-27,15,5,buy,1
2019-11-28,14,6,buy,1
2019-11-29,16,4,buy,1
2019-11-30,5,15,sell,0
2019-12-01,2,18,sell,0
2019-12-02,5,15,sell,0
2019-12-03,5,15,sell,0
2019-12-04,5,15,sell,0
2019-12-05,11,9,buy,1
2019-12-06,14,6,buy,1
2019-12-07,13,7,buy,1
2019-12-08,11,9,buy,1
2019-12-09,7,13,sell,0
2019-12-10,6,14,sell,0
2019-12-11,9,11,sell,0
2019-12-12,7,13,sell,0
2019-12-13,10,10,buy,1
2019-12-14,10,10,buy,1
2019-12-15,6,14,sell,0
2019-12-16,1,19,sell,0
2019-12-17,4,16,sell,0
2019-12-18,9,11,sell,0
2019-12-19,9,11,sell,0
2019-12-20,6,14,sell,0
2019-12-21,5,15,sell,0
2019-12-22,12,8,buy,1
2019-12-23,12,8,buy,1
2019-12-24,13,7,buy,1
2019-12-25,10,10,buy,1
2019-12-26,13,7,buy,1
2019-12-27,14,6,buy,1
2019-12-28,11,9,buy,1
2019-12-29,15,5,buy,1
2019-12-30,7,13,sell,0
2019-12-31,3,17,sell,0
2020-01-01,7,13,sell,0
2020-01-02,8,12,sell,0
2020-01-03,11,9,buy,1
2020-01-04,16,4,buy,1
2020-01-05,15,5,buy,1
2020-01-06,19,1,buy,1
2020-01-07,14,6,buy,1
2020-01-08,11,9,buy,1
2020-01-09,10,10,buy,1
2020-01-10,12,8,buy,1
2020-01-11,13,7,buy,1
2020-01-12,16,4,buy,1
2020-01-13,15,5,buy,1
2020-01-14,15,5,buy,1
2020-01-15,11,9,buy,1
2020-01-16,10,10,buy,1
2020-01-17,13,7,buy,1
2020-01-18,8,12,sell,0
2020-01-19,6,14,sell,0
2020-01-20,8,12,sell,0
2020-01-21,10,10,buy,1
2020-01-22,7,13,sell,0
2020-01-23,4,16,sell,0
2020-01-24,5,15,sell,0
2020-01-25,2,18,sell,0
2020-01-26,12,8,buy,1
2020-01-27,18,2,buy,1
2020-01-28,16,4,buy,1
2020-01-29,13,7,buy,1
2020-01-30,13,7,buy,1
2020-01-31,15,5,buy,1
2020-02-01,12,8,buy,1
2020-02-02,13,7,buy,1
2020-02-03,15,5,buy,1
2020-02-04,9,11,sell,0
2020-02-05,18,2,buy,1
2020-02-06,16,4,buy,1
2020-02-07,14,6,buy,1
2020-02-08,12,8,buy,1
2020-02-09,13,5,buy,1
2020-02-10,10,9,buy,1
2020-02-11,11,8,buy,1
2020-02-12,18,1,buy,1
2020-02-13,8,11,sell,0
2020-02-14,11,8,buy,1
2020-02-15,3,16,sell,0
2020-02-16,1,18,sell,0
2020-02-17,3,16,sell,0
2020-02-18,9,11,sell,0
2020-02-19,7,13,sell,0
2020-02-20,2,18,sell,0
2020-02-21,13,7,buy,1
2020-02-22,8,12,sell,0
2020-02-23,11,9,buy,1
2020-02-24,6,14,sell,0
2020-02-25,0,20,sell,0
2020-02-26,2,18,sell,0
2020-02-27,8,12,sell,0
2020-02-28,6,14,sell,0
2020-02-29,8,12,sell,0
2020-03-01,11,9,buy,1
2020-03-02,16,4,buy,1
2020-03-03,13,7,buy,1
2020-03-04,15,5,buy,1
2020-03-05,14,6,buy,1
2020-03-06,10,10,buy,1
2020-03-07,4,16,sell,0
2020-03-08,1,19,sell,0
2020-03-09,2,18,sell,0
2020-03-10,9,11,sell,0
2020-03-11,1,19,sell,0
2020-03-12,6,14,sell,0
2020-03-13,11,9,buy,1
2020-03-14,7,13,sell,0
2020-03-15,11,9,buy,1
2020-03-16,1,19,sell,0
2020-03-17,7,13,sell,0
2020-03-18,9,11,sell,0
2020-03-19,19,1,buy,1
2020-03-20,14,6,buy,1
2020-03-21,13,7,buy,1
2020-03-22,8,12,sell,0
2020-03-23,11,9,buy,1
2020-03-24,15,5,buy,1
2020-03-25,11,9,buy,1
2020-03-26,9,11,sell,0
2020-03-27,3,17,sell,0
2020-03-28,1,19,sell,0
2020-03-29,5,15,sell,0
2020-03-30,15,5,buy,1
2020-03-31,15,5,buy,1
2020-04-01,14,6,buy,1
2020-04-02,19,1,buy,1
2020-04-03,15,5,buy,1
2020-04-04,16,4,buy,1
2020-04-05,11,9,buy,1
2020-04-06,19,1,buy,1
2020-04-07,15,5,buy,1
2020-04-08,16,3,buy,1
2020-04-09,12,7,buy,1
2020-04-10,1,19,sell,0
2020-04-11,8,12,sell,0
2020-04-12,12,8,buy,1
2020-04-13,5,15,sell,0
2020-04-14,10,10,buy,1
2020-04-15,6,14,sell,0
2020-04-16,18,2,buy,1
2020-04-17,15,5,buy,1
2020-04-18,14,6,buy,1
2020-04-19,11,9,buy,1
2020-04-20,3,17,sell,0
2020-04-21,2,18,sell,0
2020-04-22,14,6,buy,1
2020-04-23,19,1,buy,1
2020-04-24,17,3,buy,1
2020-04-25,15,5,buy,1
2020-04-26,14,6,buy,1
2020-04-27,9,11,sell,0
2020-04-28,13,7,buy,1
2020-04-29,16,4,buy,1
2020-04-30,8,12,sell,0
2020-05-01,12,8,buy,1
2020-05-02,6,14,sell,0
2020-05-03,5,15,sell,0
2020-05-04,7,13,sell,0
2020-05-05,8,12,sell,0
2020-05-06,14,6,buy,1
2020-05-07,15,5,buy,1
2020-05-08,16,4,buy,1
2020-05-09,14,6,buy,1
2020-05-10,4,16,sell,0
2020-05-11,1,19,sell,0
2020-05-12,11,9,buy,1
2020-05-13,10,10,buy,1
2020-05-14,15,5,buy,1
2020-05-15,13,7,buy,1
2020-05-16,13,7,buy,1
2020-05-17,19,1,buy,1
2020-05-18,18,2,buy,1
2020-05-19,10,10,buy,1
2020-05-20,7,13,sell,0
2020-05-21,4,16,sell,0
2020-05-22,7,13,sell,0
2020-05-23,6,14,sell,0
2020-05-24,10,10,buy,1
2020-05-25,10,10,buy,1
2020-05-26,9,11,sell,0
2020-05-27,15,5,buy,1
2020-05-28,17,3,buy,1
2020-05-29,16,4,buy,1
2020-05-30,16,4,buy,1
2020-05-31,12,8,buy,1
2020-06-01,17,3,buy,1
2020-06-02,10,10,buy,1
2020-06-03,11,9,buy,1
2020-06-04,13,7,buy,1
2020-06-05,11,9,buy,1
2020-06-06,10,10,buy,1
2020-06-07,6,14,sell,0
2020-06-08,10,10,buy,1
2020-06-09,7,13,sell,0
2020-06-10,7,13,sell,0
2020-06-11,0,20,sell,0
2020-06-12,8,12,sell,0
2020-06-13,10,10,buy,1
2020-06-14,7,13,sell,0
2020-06-15,4,16,sell,0
2020-06-16,8,12,sell,0
2020-06-17,12,8,buy,1
2020-06-18,8,12,sell,0
2020-06-19,7,13,sell,0
2020-06-20,11,9,buy,1
2020-06-21,12,8,buy,1
2020-06-22,14,6,buy,1
2020-06-23,13,7,buy,1
2020-06-24,7,11,sell,0
2020-06-25,5,14,sell,0
2020-06-26,6,13,sell,0
2020-06-27,4,15,sell,0
2020-06-28,10,9,buy,1
2020-06-29,11,8,buy,1
2020-06-30,11,8,buy,1
2020-07-01,11,8,buy,1
2020-07-02,13,6,buy,1
2020-07-03,9,11,sell,0
2020-07-04,13,7,buy,1
2020-07-05,12,8,buy,1
2020-07-06,17,3,buy,1
2020-07-07,13,7,buy,1
2020-07-08,18,2,buy,1
2020-07-09,13,7,buy,1
2020-07-10,3,17,sell,0
2020-07-11,7,13,sell,0
2020-07-12,11,9,buy,1
2020-07-13,13,7,buy,1
2020-07-14,9,11,sell,0
2020-07-15,6,14,sell,0
2020-07-16,4,16,sell,0
2020-07-17,7,13,sell,0
2020-07-18,8,12,sell,0
2020-07-19,10,10,buy,1
2020-07-20,4,16,sell,0
2020-07-21,8,12,sell,0
2020-07-22,11,9,buy,1
2020-07-23,15,4,buy,1
2020-07-24,8,11,sell,0
2020-07-25,13,7,buy,1
2020-07-26,10,10,buy,1
2020-07-27,11,9,buy,1
2020-07-28,13,7,buy,1
2020-07-29,15,5,buy,1
2020-07-30,11,9,buy,1
2020-07-31,13,7,buy,1
2020-08-01,18,2,buy,1
2020-08-02,9,11,sell,0
2020-08-03,11,9,buy,1
2020-08-04,10,10,buy,1
2020-08-05,16,4,buy,1
2020-08-06,14,6,buy,1
2020-08-07,6,14,sell,0
2020-08-08,15,5,buy,1
2020-08-09,9,11,sell,0
2020-08-10,6,14,sell,0
2020-08-11,3,17,sell,0
2020-08-12,5,15,sell,0
2020-08-13,9,11,sell,0
2020-08-14,15,5,buy,1
2020-08-15,15,5,buy,1
2020-08-16,11,9,buy,1
2020-08-17,10,10,buy,1
2020-08-18,7,13,sell,0
2020-08-19,11,9,buy,1
2020-08-20,10,10,buy,1
2020-08-21,9,11,sell,0
2020-08-22,11,9,buy,1
2020-08-23,6,14,sell,0
2020-08-24,12,8,buy,1
2020-08-25,10,10,buy,1
2020-08-26,9,11,sell,0
2020-08-27,9,11,sell,0
2020-08-28,10,10,buy,1
2020-08-29,14,6,buy,1
2020-08-30,6,14,sell,0
2020-08-31,8,12,sell,0
2020-09-01,7,13,sell,0
2020-09-02,10,10,buy,1
2020-09-03,8,12,sell,0
2020-09-04,7,13,sell,0
2020-09-05,7,13,sell,0
2020-09-06,12,8,buy,1
2020-09-07,16,4,buy,1
2020-09-08,11,9,buy,1
2020-09-09,14,6,buy,1
2020-09-10,11,9,buy,1
2020-09-11,10,10,buy,1
2020-09-12,7,13,sell,0
2020-09-13,8,12,sell,0
2020-09-14,10,9,buy,1
2020-09-15,9,11,sell,0
2020-09-16,8,12,sell,0
2020-09-17,9,11,sell,0
2020-09-18,8,12,sell,0
2020-09-19,12,8,buy,1
2020-09-20,11,9,buy,1
2020-09-21,9,11,sell,0
2020-09-22,14,6,buy,1
2020-09-23,8,12,sell,0
2020-09-24,14,6,buy,1
2020-09-25,10,10,buy,1
2020-09-26,7,12,sell,0
2020-09-27,6,14,sell,0
2020-09-28,12,8,buy,1
2020-09-29,9,11,sell,0
2020-09-30,11,9,buy,1
2020-10-01,10,10,buy,1
2020-10-02,8,12,sell,0
2020-10-03,3,17,sell,0
2020-10-04,9,11,sell,0
2020-10-05,15,5,buy,1
2020-10-06,4,16,sell,0
2020-10-07,7,13,sell,0
2020-10-08,8,12,sell,0
2020-10-09,8,12,sell,0
2020-10-10,8,12,sell,0
2020-10-11,12,8,buy,1
2020-10-12,10,10,buy,1
2020-10-13,12,8,buy,1
2020-10-14,11,9,buy,1
2020-10-15,6,14,sell,0
2020-10-16,6,14,sell,0
2020-10-17,13,7,buy,1
2020-10-18,13,7,buy,1
2020-10-19,13,7,buy,1
2020-10-20,9,11,sell,0
2020-10-21,9,11,sell,0
2020-10-22,13,7,buy,1
2020-10-23,10,10,buy,1
2020-10-24,8,12,sell,0
2020-10-25,13,7,buy,1
2020-10-26,9,11,sell,0
2020-10-27,12,8,buy,1
2020-10-28,14,6,buy,1
2020-10-29,7,13,sell,0
2020-10-30,6,14,sell,0
2020-10-31,12,8,buy,1
2020-11-01,13,7,buy,1
2020-11-02,5,15,sell,0
2020-11-03,7,13,sell,0
2020-11-04,10,10,buy,1
2020-11-05,9,11,sell,0
2020-11-06,12,8,buy,1
2020-11-07,11,9,buy,1
2020-11-08,7,13,sell,0
2020-11-09,11,9,buy,1
2020-11-10,8,12,sell,0
2020-11-11,10,10,buy,1
2020-11-12,11,9,buy,1
2020-11-13,10,10,buy,1
2020-11-14,10,10,buy,1
2020-11-15,3,17,sell,0
2020-11-16,8,12,sell,0
2020-11-17,4,16,sell,0
2020-11-18,7,13,sell,0
2020-11-19,12,8,buy,1
2020-11-20,8,12,sell,0
2020-11-21,11,9,buy,1
2020-11-22,10,10,buy,1
2020-11-23,8,12,sell,0
2020-11-24,11,9,buy,1
2020-11-25,10,10,buy,1
2020-11-26,7,12,sell,0
2020-11-27,10,10,buy,1
2020-11-28,11,9,buy,1
2020-11-29,7,13,sell,0
2020-11-30,8,12,sell,0
2020-12-01,11,9,buy,1
2020-12-02,13,7,buy,1
2020-12-03,12,8,buy,1
2020-12-04,9,11,sell,0
2020-12-05,7,13,sell,0
2020-12-06,11,9,buy,1
2020-12-07,12,8,buy,1
2020-12-08,7,13,sell,0
2020-12-09,4,16,sell,0
2020-12-10,14,6,buy,1
2020-12-11,7,13,sell,0
2020-12-12,10,10,buy,1
2020-12-13,7,13,sell,0
2020-12-14,12,8,buy,1
2020-12-15,9,11,sell,0
2020-12-16,9,11,sell,0
2020-12-17,8,12,sell,0
2020-12-18,5,12,sell,0
2020-12-19,13,7,buy,1
2020-12-20,14,6,buy,1
2020-12-21,13,7,buy,1
2020-12-22,9,11,sell,0
2020-12-23,14,6,buy,1
2020-12-24,5,15,sell,0
2020-12-25,4,13,sell,0
2020-12-26,9,11,sell,0
2020-12-27,11,9,buy,1
2020-12-28,11,9,buy,1
2020-12-29,11,9,buy,1
2020-12-30,12,8,buy,1
2020-12-31,7,13,sell,0
2021-01-01,9,11,sell,0
2021-01-02,13,7,buy,1
2021-01-03,12,8,buy,1
2021-01-04,12,8,buy,1
2021-01-05,10,10,buy,1
2021-01-06,8,12,sell,0
2021-01-07,11,9,buy,1
2021-01-08,8,12,sell,0
2021-01-09,11,9,buy,1
2021-01-10,6,14,sell,0
2021-01-11,7,13,sell,0
2021-01-12,6,14,sell,0
2021-01-13,10,10,buy,1
2021-01-14,8,12,sell,0
2021-01-15,10,10,buy,1
2021-01-16,12,7,buy,1
2021-01-17,9,8,buy,1
2021-01-18,12,5,buy,1
2021-01-19,7,11,sell,0
2021-01-20,10,8,buy,1
2021-01-21,12,8,buy,1
2021-01-22,11,9,buy,1
2021-01-23,13,7,buy,1
2021-01-24,8,12,sell,0
2021-01-25,9,11,sell,0
2021-01-26,8,12,sell,0
2021-01-27,14,6,buy,1
2021-01-28,10,10,buy,1
2021-01-29,12,8,buy,1
2021-01-30,17,3,buy,1
2021-01-31,10,10,buy,1
2021-02-01,10,10,buy,1
2021-02-02,11,9,buy,1
2021-02-03,9,11,sell,0
2021-02-04,9,11,sell,0
2021-02-05,15,5,buy,1
2021-02-06,14,6,buy,1
2021-02-07,11,9,buy,1
2021-02-08,13,7,buy,1
2021-02-09,14,6,buy,1
2021-02-10,14,6,buy,1
2021-02-11,16,4,buy,1
2021-02-12,15,5,buy,1
2021-02-13,9,11,sell,0
2021-02-14,10,10,buy,1
2021-02-15,9,11,sell,0
2021-02-16,11,9,buy,1
2021-02-17,11,9,buy,1
2021-02-18,8,12,sell,0
2021-02-19,7,13,sell,0
2021-02-20,8,12,sell,0
2021-02-21,6,14,sell,0
2021-02-22,4,16,sell,0
2021-02-23,5,14,sell,0
2021-02-24,9,11,sell,0
2021-02-25,11,9,buy,1
2021-02-26,8,12,sell,0
2021-02-27,9,11,sell,0
2021-02-28,9,11,sell,0
2021-03-01,14,5,buy,1
2021-03-02,13,7,buy,1
2021-03-03,10,10,buy,1
2021-03-04,7,13,sell,0
2021-03-05,4,16,sell,0
2021-03-06,13,7,buy,1
2021-03-07,15,5,buy,1
2021-03-08,12,8,buy,1
2021-03-09,12,8,buy,1
2021-03-10,6,14,sell,0
2021-03-11,11,9,buy,1
2021-03-12,14,6,buy,1
2021-03-13,9,11,sell,0
2021-03-14,14,6,buy,1
2021-03-15,8,12,sell,0
2021-03-16,9,11,sell,0
2021-03-17,15,5,buy,1
2021-03-18,16,4,buy,1
2021-03-19,7,13,sell,0
2021-03-20,11,8,buy,1
2021-03-21,1,19,sell,0
2021-03-22,6,14,sell,0
2021-03-23,3,17,sell,0
2021-03-24,9,11,sell,0
2021-03-25,6,14,sell,0
2021-03-26,14,6,buy,1
2021-03-27,12,8,buy,1
2021-03-28,6,14,sell,0
2021-03-29,11,9,buy,1
2021-03-30,15,5,buy,1
2021-03-31,15,5,buy,1
2021-04-01,13,7,buy,1
2021-04-02,10,10,buy,1
2021-04-03,8,12,sell,0
2021-04-04,9,11,sell,0
2021-04-05,12,7,buy,1
2021-04-06,8,11,sell,0
2021-04-07,8,12,sell,0
2021-04-08,11,9,buy,1
2021-04-09,9,11,sell,0
2021-04-10,5,15,sell,0
2021-04-11,10,10,buy,1
2021-04-12,6,14,sell,0
2021-04-13,8,12,sell,0
2021-04-14,8,12,sell,0
2021-04-15,8,12,sell,0
2021-04-16,5,15,sell,0
2021-04-17,5,15,sell,0
2021-04-18,9,11,sell,0
2021-04-19,13,7,buy,1
2021-04-20,9,11,sell,0
2021-04-21,8,12,sell,0
2021-04-22,11,9,buy,1
2021-04-23,8,12,sell,0
2021-04-24,10,10,buy,1
2021-04-25,9,11,sell,0
2021-04-26,8,12,sell,0
2021-04-27,12,8,buy,1
2021-04-28,8,12,sell,0
2021-04-29,15,5,buy,1
2021-04-30,15,5,buy,1
2021-05-01,13,7,buy,1
2021-05-02,12,8,buy,1
2021-05-03,4,16,sell,0
2021-05-04,10,10,buy,1
2021-05-05,12,8,buy,1
2021-05-06,12,8,buy,1
2021-05-07,12,8,buy,1
2021-05-08,11,9,buy,1
2021-05-09,10,10,buy,1
2021-05-10,16,4,buy,1
2021-05-11,11,9,buy,1
2021-05-12,11,9,buy,1
2021-05-13,17,3,buy,1
2021-05-14,16,4,buy,1
2021-05-15,13,7,buy,1
2021-05-16,8,11,sell,0
2021-05-17,4,15,sell,0
2021-05-18,10,10,buy,1
2021-05-19,10,10,buy,1
2021-05-20,7,13,sell,0
2021-05-21,9,11,sell,0
2021-05-22,8,12,sell,0
2021-05-23,9,11,sell,0
2021-05-24,10,10,buy,1
2021-05-25,8,12,sell,0
2021-05-26,7,13,sell,0
2021-05-27,7,13,sell,0
2021-05-28,11,9,buy,1
2021-05-29,13,7,buy,1
2021-05-30,10,10,buy,1
2021-05-31,8,12,sell,0
2021-06-01,17,3,buy,1
2021-06-02,11,9,buy,1
2021-06-03,7,13,sell,0
2021-06-04,9,11,sell,0
2021-06-05,11,9,buy,1
2021-06-06,9,9,buy,1
2021-06-07,7,11,sell,0
2021-06-08,8,10,sell,0
2021-06-09,8,10,sell,0
2021-06-10,8,9,sell,0
2021-06-11,5,15,sell,0
2021-06-12,11,9,buy,1
2021-06-13,7,13,sell,0
2021-06-14,8,12,sell,0
2021-06-15,7,13,sell,0
2021-06-16,11,9,buy,1
2021-06-17,11,9,buy,1
2021-06-18,11,9,buy,1
2021-06-19,12,8,buy,1
2021-06-20,10,10,buy,1
2021-06-21,9,11,sell,0
2021-06-22,10,10,buy,1
2021-06-23,12,8,buy,1
2021-06-24,10,10,buy,1
2021-06-25,7,13,sell,0
2021-06-26,3,14,sell,0
2021-06-27,14,6,buy,1
2021-06-28,7,13,sell,0
2021-06-29,9,11,sell,0
2021-06-30,10,10,buy,1
